Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Module File,"D:\thesis2\real 106 project\CommonMark\test\cmark.py",D:\thesis2\real 106 project\CommonMark\test\cmark.py,2,2,2,1,9,0,9,0,,,,,1,3,,3,,,,,40,4,34,18,26,2,0,0,30,18,22,0,0,0,0,5,5,5,1,,2,"0.06",7,7,7,3
Module File,"D:\thesis2\real 106 project\CommonMark\test\normalize.py",D:\thesis2\real 106 project\CommonMark\test\normalize.py,2,2,2,1,11,1,7,2,,,,,1,15,,14,,,,,180,19,119,35,99,43,1,0,104,34,84,1,1,1,1,6,6,10,1,,3,"0.36",38,38,42,15
Module File,"D:\thesis2\real 106 project\CommonMark\test\spec_tests.py",D:\thesis2\real 106 project\CommonMark\test\spec_tests.py,5,5,5,1,25,0,19,0,,,,,0,5,,4,,,,,142,10,130,38,119,4,24,1,103,36,92,8,8,11,5,8,8,11,5,,4,"0.03",25,25,29,9
Module File,"D:\thesis2\real 106 project\CommonMark\tools\makespec.py",D:\thesis2\real 106 project\CommonMark\tools\makespec.py,4,4,4,2,19,0,4,0,,,,,0,8,,7,,,,,172,15,153,47,142,13,873,3,131,45,120,28,28,28,12,28,28,28,12,,8,"0.08",37,37,37,19
Class,"cmark.CMark",D:\thesis2\real 106 project\CommonMark\test\cmark.py,5,5,5,1,21,0,21,0,0,0,0,0,,,,,1,2,1,1,22,0,22,9,20,0,,,18,9,16,,,,,5,5,5,1,0,2,"0.00",5,5,5,1
Function,"cmark.CMark.__init__(self,prog,library_dir)",D:\thesis2\real 106 project\CommonMark\test\cmark.py,,,,,,,,,,,,,,,,,,,,,21,0,21,8,20,0,7,1,17,8,16,5,5,5,1,,,,,,2,"0.00",,,,
Function,"cmark.pipe_through_prog(prog,text)",D:\thesis2\real 106 project\CommonMark\test\cmark.py,,,,,,,,,,,,,,,,,,,,,4,0,4,2,3,0,1,0,4,2,3,1,1,1,1,,,,,,0,"0.00",,,,
Function,"cmark.use_library(lib,text)",D:\thesis2\real 106 project\CommonMark\test\cmark.py,,,,,,,,,,,,,,,,,,,,,4,0,4,3,3,0,1,0,4,3,3,1,1,1,1,,,,,,0,"0.00",,,,
Function,"makespec.err(str)",D:\thesis2\real 106 project\CommonMark\tools\makespec.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Function,"makespec.out(str)",D:\thesis2\real 106 project\CommonMark\tools\makespec.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Function,"makespec.parseYaml(yaml)",D:\thesis2\real 106 project\CommonMark\tools\makespec.py,,,,,,,,,,,,,,,,,,,,,11,0,11,6,9,0,1,0,11,6,9,1,1,1,1,,,,,,0,"0.00",,,,
Function,"makespec.parseYaml.parseField(match)",D:\thesis2\real 106 project\CommonMark\tools\makespec.py,,,,,,,,,,,,,,,,,,,,,6,0,6,3,5,0,2,0,6,3,5,2,2,2,1,,,,,,1,"0.00",,,,
Function,"makespec.pipe_through_prog(prog,text)",D:\thesis2\real 106 project\CommonMark\tools\makespec.py,,,,,,,,,,,,,,,,,,,,,3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,,,,,,0,"0.00",,,,
Function,"makespec.replaceAnchor(match)",D:\thesis2\real 106 project\CommonMark\tools\makespec.py,,,,,,,,,,,,,,,,,,,,,6,0,6,1,5,2,2,0,5,1,4,2,2,2,1,,,,,,1,"0.33",,,,
Function,"makespec.toIdentifier(s)",D:\thesis2\real 106 project\CommonMark\tools\makespec.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Class,"normalize.MyHTMLParser",D:\thesis2\real 106 project\CommonMark\test\normalize.py,2,2,2,1,7,0,7,0,1,3,0,0,,,,,13,4,13,13,104,1,98,23,84,5,,,84,23,70,,,,,6,6,10,1,1,3,"0.05",33,33,37,13
Function,"normalize.MyHTMLParser.__init__(self)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,6,0,6,5,5,0,1,0,6,5,5,1,1,1,1,,,,,,0,"0.00",,,,
Function,"normalize.MyHTMLParser.handle_charref(self,name)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,10,0,10,2,9,0,3,0,9,2,8,3,3,3,1,,,,,,2,"0.00",,,,
Function,"normalize.MyHTMLParser.handle_comment(self,data)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,3,0,3,1,2,0,1,0,3,1,2,1,1,1,1,,,,,,0,"0.00",,,,
Function,"normalize.MyHTMLParser.handle_data(self,data)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,14,0,14,3,13,0,16,1,13,3,12,6,6,10,1,,,,,,2,"0.00",,,,
Function,"normalize.MyHTMLParser.handle_decl(self,data)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,3,0,3,1,2,0,1,0,3,1,2,1,1,1,1,,,,,,0,"0.00",,,,
Function,"normalize.MyHTMLParser.handle_endtag(self,tag)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,8,0,8,1,7,0,3,0,7,1,6,3,3,3,1,,,,,,1,"0.00",,,,
Function,"normalize.MyHTMLParser.handle_entityref(self,name)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,7,0,7,2,6,0,2,0,7,2,6,2,2,2,1,,,,,,1,"0.00",,,,
Function,"normalize.MyHTMLParser.handle_pi(self,data)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,3,0,3,1,2,0,1,0,3,1,2,1,1,1,1,,,,,,0,"0.00",,,,
Function,"normalize.MyHTMLParser.handle_startendtag(self,tag,attrs)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,5,0,4,1,3,1,1,0,4,1,3,1,1,1,1,,,,,,0,"0.25",,,,
Function,"normalize.MyHTMLParser.handle_starttag(self,tag,attrs)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,18,0,15,2,14,3,16,1,15,2,14,6,6,6,1,,,,,,3,"0.20",,,,
Function,"normalize.MyHTMLParser.is_block_tag(self,tag)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,8,0,8,1,7,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Function,"normalize.MyHTMLParser.output_char(self,c,fallback)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,13,0,13,1,12,0,6,1,8,1,7,6,6,6,1,,,,,,1,"0.00",,,,
Function,"normalize.MyHTMLParser.unknown_decl(self,data)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,3,0,3,1,2,0,1,0,3,1,2,1,1,1,1,,,,,,0,"0.00",,,,
Function,"normalize.normalize_html(html)",D:\thesis2\real 106 project\CommonMark\test\normalize.py,,,,,,,,,,,,,,,,,,,,,64,16,14,5,13,35,4,1,13,4,12,4,4,4,1,,,,,,3,"2.50",,,,
Function,"spec_tests.do_test(test,normalize,result_counts)",D:\thesis2\real 106 project\CommonMark\test\spec_tests.py,,,,,,,,,,,,,,,,,,,,,35,0,35,8,34,0,13,1,30,7,29,7,7,7,1,,,,,,4,"0.00",,,,
Function,"spec_tests.get_tests(specfile)",D:\thesis2\real 106 project\CommonMark\test\spec_tests.py,,,,,,,,,,,,,,,,,,,,,40,2,38,13,37,2,13,1,30,12,29,8,8,9,1,,,,,,4,"0.05",,,,
Function,"spec_tests.out(str)",D:\thesis2\real 106 project\CommonMark\test\spec_tests.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Function,"spec_tests.print_test_header(headertext,example_number,start_line,end_line)",D:\thesis2\real 106 project\CommonMark\test\spec_tests.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
