Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unknown Class,"AnsibleModule",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"BaseHandler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"CParser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Composer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Constructor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Module File,"D:\thesis2\real 106 project\ansible\contrib\inventory\abiquo.py",D:\thesis2\real 106 project\ansible\contrib\inventory\abiquo.py,5,5,5,3,22,2,19,2,,,,,0,7,,6,,,,,225,37,143,47,130,47,26,1,135,43,122,7,7,7,4,16,16,19,8,,6,"0.33",37,37,40,21
Module File,"D:\thesis2\real 106 project\ansible\contrib\inventory\apache-libcloud.py",D:\thesis2\real 106 project\ansible\contrib\inventory\apache-libcloud.py,3,3,3,1,16,2,10,4,,,,,1,17,,16,,,,,361,83,177,72,148,101,4,1,160,72,131,3,3,3,1,13,13,13,5,,3,"0.57",59,59,59,28
Module File,"D:\thesis2\real 106 project\ansible\contrib\inventory\cloudstack.py",D:\thesis2\real 106 project\ansible\contrib\inventory\cloudstack.py,6,6,7,2,28,2,31,0,,,,,1,5,,4,,,,,236,33,141,33,129,62,6,1,116,32,104,4,4,4,1,12,12,14,4,,4,"0.44",33,33,36,13
Module File,"D:\thesis2\real 106 project\ansible\contrib\inventory\cobbler.py",D:\thesis2\real 106 project\ansible\contrib\inventory\cobbler.py,2,2,3,1,12,2,9,2,,,,,1,14,,13,,,,,273,67,131,59,108,79,2,0,125,58,102,2,2,2,1,13,13,15,4,,5,"0.60",40,40,43,21
Module File,"D:\thesis2\real 106 project\ansible\contrib\inventory\collins.py",D:\thesis2\real 106 project\ansible\contrib\inventory\collins.py,3,3,3,2,19,2,14,2,,,,,4,17,,16,,,,,452,85,271,92,238,99,6,1,216,89,183,4,4,4,3,19,19,21,7,,4,"0.37",62,62,65,40
Module File,"D:\thesis2\real 106 project\ansible\contrib\inventory\consul_io.py",D:\thesis2\real 106 project\ansible\contrib\inventory\consul_io.py,2,2,2,1,10,0,8,1,,,,,2,25,,24,,,,,429,86,220,95,182,124,4,1,198,93,160,3,3,3,1,7,7,7,3,,6,"0.56",70,70,74,27
Module File,"D:\thesis2\real 106 project\ansible\contrib\inventory\digital_ocean.py",D:\thesis2\real 106 project\ansible\contrib\inventory\digital_ocean.py,4,4,5,2,19,2,15,2,,,,,1,13,,12,,,,,453,86,206,52,184,164,4,1,187,51,165,3,3,3,1,16,16,18,6,,4,"0.80",58,58,74,26
Module File,"D:\thesis2\real 106 project\ansible\contrib\inventory\docker.py",D:\thesis2\real 106 project\ansible\contrib\inventory\docker.py,4,4,5,2,24,2,23,0,,,,,1,8,,7,,,,,359,40,183,64,166,136,6,1,139,61,122,4,4,4,1,11,11,17,5,,3,"0.74",36,36,46,17
Module File,"D:\thesis2\real 106 project\ansible\contrib\inventory\ec2.py",D:\thesis2\real 106 project\ansible\contrib\inventory\ec2.py,7,7,8,1,32,5,21,6,,,,,1,35,,34,,,,,1304,244,747,201,697,313,2,0,668,196,618,2,2,2,1,36,36,43,9,,4,"0.42",263,263,300,64
Module File,"D:\thesis2\real 106 project\ansible\contrib\inventory\fleet.py",D:\thesis2\real 106 project\ansible\contrib\inventory\fleet.py,3,3,3,1,11,0,6,0,,,,,0,4,,3,,,,,107,18,53,24,43,36,10,1,49,24,39,6,6,6,3,6,6,6,3,,2,"0.68",12,12,13,6
