Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unknown Class,"Blueprint",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Blueprint",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Blueprint",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Celery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Cmd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Command",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Command",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Command",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Command",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Command",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Command",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Command",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"ConsumerStep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"ConsumerStep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
File,"D:\thesis2\real 106 project\celery\celery\__init__.py",D:\thesis2\real 106 project\celery\celery\__init__.py,2,2,4,1,17,0,9,2,,,,,0,6,,5,,,,,154,22,107,50,77,37,4,1,73,43,50,3,3,3,1,6,6,10,6,,4,"0.35",17,17,24,11
Module File,"D:\thesis2\real 106 project\celery\celery\__main__.py",D:\thesis2\real 106 project\celery\celery\__main__.py,1,1,1,1,5,0,4,0,,,,,0,6,,5,,,,,54,19,35,14,22,1,2,0,29,14,16,2,2,2,1,2,2,2,1,,1,"0.03",8,8,8,6
Module File,"D:\thesis2\real 106 project\celery\celery\_state.py",D:\thesis2\real 106 project\celery\celery\_state.py,1,1,1,1,5,0,3,0,,,,,1,13,,12,,,,,132,42,65,37,41,27,2,0,59,37,35,2,2,2,1,3,3,4,3,,2,"0.42",18,18,20,15
File,"D:\thesis2\real 106 project\celery\celery\app\__init__.py",D:\thesis2\real 106 project\celery\celery\app\__init__.py,1,1,2,1,14,1,9,3,,,,,0,10,,9,,,,,152,37,74,32,51,47,2,0,62,28,43,2,2,3,1,5,5,6,4,,3,"0.64",19,19,24,13
Module File,"D:\thesis2\real 106 project\celery\celery\app\amqp.py",D:\thesis2\real 106 project\celery\celery\app\amqp.py,2,2,3,1,14,0,13,1,,,,,2,35,,34,,,,,561,71,431,141,347,68,1,0,276,108,224,1,1,1,1,17,17,29,3,,2,"0.16",99,99,136,43
Module File,"D:\thesis2\real 106 project\celery\celery\app\annotations.py",D:\thesis2\real 106 project\celery\celery\app\annotations.py,2,2,2,1,6,0,6,0,,,,,1,6,,5,,,,,58,16,32,12,22,10,1,0,30,12,20,1,1,1,1,3,3,3,3,,1,"0.31",12,12,12,8
Module File,"D:\thesis2\real 106 project\celery\celery\app\base.py",D:\thesis2\real 106 project\celery\celery\app\base.py,1,1,2,1,7,0,6,0,,,,,1,83,,82,,,,,783,131,585,251,412,78,2,0,418,196,296,2,2,2,1,8,8,16,5,,3,"0.13",145,145,181,91
Module File,"D:\thesis2\real 106 project\celery\celery\app\builtins.py",D:\thesis2\real 106 project\celery\celery\app\builtins.py,1,1,1,1,13,1,11,1,,,,,0,19,,18,,,,,206,38,139,74,83,29,1,0,97,46,66,1,1,1,1,9,9,9,3,,2,"0.21",30,30,31,21
Module File,"D:\thesis2\real 106 project\celery\celery\app\control.py",D:\thesis2\real 106 project\celery\celery\app\control.py,1,1,1,1,6,0,3,2,,,,,2,36,,35,,,,,308,77,149,66,100,82,1,0,104,58,61,1,1,1,1,3,3,4,3,,1,"0.55",40,40,44,38
Module File,"D:\thesis2\real 106 project\celery\celery\app\defaults.py",D:\thesis2\real 106 project\celery\celery\app\defaults.py,3,3,3,1,33,0,7,0,,,,,1,7,,6,,,,,276,23,244,40,228,9,4,1,66,39,51,4,4,4,1,6,6,6,6,,4,"0.04",21,21,24,12
Module File,"D:\thesis2\real 106 project\celery\celery\app\log.py",D:\thesis2\real 106 project\celery\celery\app\log.py,2,2,2,1,10,0,8,1,,,,,2,19,,18,,,,,255,45,177,61,132,34,1,0,128,49,95,1,1,1,1,8,8,11,3,,2,"0.19",42,42,52,21
Module File,"D:\thesis2\real 106 project\celery\celery\app\registry.py",D:\thesis2\real 106 project\celery\celery\app\registry.py,1,1,1,1,4,0,2,1,,,,,1,9,,8,,,,,71,23,31,16,16,17,1,0,30,16,15,1,1,1,1,2,2,3,1,,1,"0.55",11,11,13,9
Module File,"D:\thesis2\real 106 project\celery\celery\app\routes.py",D:\thesis2\real 106 project\celery\celery\app\routes.py,2,2,2,1,7,0,7,0,,,,,2,9,,8,,,,,96,21,63,26,45,14,1,0,58,25,41,1,1,1,1,5,5,5,4,,3,"0.22",23,23,23,16
Module File,"D:\thesis2\real 106 project\celery\celery\app\task.py",D:\thesis2\real 106 project\celery\celery\app\task.py,2,2,2,1,13,1,6,5,,,,,2,49,,48,,,,,943,193,407,190,321,352,1,0,328,176,255,1,1,1,1,10,10,14,8,,3,"0.86",99,99,115,56
Module File,"D:\thesis2\real 106 project\celery\celery\app\trace.py",D:\thesis2\real 106 project\celery\celery\app\trace.py,3,3,4,1,31,1,24,4,,,,,1,21,,20,,,,,599,81,433,149,376,86,1,0,316,137,268,1,1,1,1,32,32,33,13,,8,"0.20",76,76,91,37
Module File,"D:\thesis2\real 106 project\celery\celery\app\utils.py",D:\thesis2\real 106 project\celery\celery\app\utils.py,1,1,1,1,7,0,5,1,,,,,2,25,,24,,,,,264,60,165,62,114,40,1,0,117,55,73,1,1,1,1,11,11,12,10,,5,"0.24",43,43,48,39
File,"D:\thesis2\real 106 project\celery\celery\apps\__init__.py",D:\thesis2\real 106 project\celery\celery\apps\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\celery\celery\apps\beat.py",D:\thesis2\real 106 project\celery\celery\apps\beat.py,1,1,2,1,10,0,9,0,,,,,1,11,,10,,,,,154,24,116,44,92,15,1,0,72,39,52,1,1,1,1,4,4,4,1,,1,"0.13",18,18,23,11
