Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unknown Class,"BaseAuthentication",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"BasePermission",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"CharField",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"CreateModelMixin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Module File,"D:\thesis2\real 106 project\deis\Godeps\_workspace\src\github.com\ugorji\go\codec\test.py",D:\thesis2\real 106 project\deis\Godeps\_workspace\src\github.com\ugorji\go\codec\test.py,1,1,2,1,10,0,10,0,,,,,1,10,,9,,,,,119,13,94,25,83,12,2,0,54,25,43,2,2,2,1,5,5,9,1,,1,"0.13",17,17,21,10
Module File,"D:\thesis2\real 106 project\deis\contrib\aws\gen-json.py",D:\thesis2\real 106 project\deis\contrib\aws\gen-json.py,2,2,3,1,59,1,8,0,,,,,0,2,,1,,,,,148,17,123,28,117,9,2,0,58,27,52,2,2,5,1,2,2,5,1,,1,"0.07",4,4,7,2
Module File,"D:\thesis2\real 106 project\deis\contrib\aws\route53-wildcard.py",D:\thesis2\real 106 project\deis\contrib\aws\route53-wildcard.py,3,3,3,2,11,0,9,0,,,,,0,4,,3,,,,,82,17,49,20,40,16,7,1,46,20,37,5,5,5,4,5,5,5,4,,3,"0.33",14,14,14,10
Module File,"D:\thesis2\real 106 project\deis\contrib\linode\apply-firewall.py",D:\thesis2\real 106 project\deis\contrib\linode\apply-firewall.py,2,2,2,1,11,1,9,0,,,,,0,15,,14,,,,,213,49,150,59,124,14,3,0,122,58,96,3,3,3,3,8,8,8,3,,2,"0.09",35,35,35,21
Module File,"D:\thesis2\real 106 project\deis\contrib\linode\create-linode-user-data.py",D:\thesis2\real 106 project\deis\contrib\linode\create-linode-user-data.py,2,2,2,1,8,1,7,0,,,,,0,11,,10,,,,,130,34,91,41,72,7,3,0,86,39,67,3,3,3,3,6,6,6,4,,2,"0.08",24,24,24,16
Module File,"D:\thesis2\real 106 project\deis\contrib\linode\provision-linode-cluster.py",D:\thesis2\real 106 project\deis\contrib\linode\provision-linode-cluster.py,2,2,2,1,13,1,10,0,,,,,4,27,,26,,,,,435,92,314,111,274,29,3,0,248,110,208,3,3,3,3,6,6,6,6,,3,"0.09",57,57,57,42
File,"D:\thesis2\real 106 project\deis\controller\api\__init__.py",D:\thesis2\real 106 project\deis\controller\api\__init__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,5,1,1,1,1,3,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,"3.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\deis\controller\api\admin.py",D:\thesis2\real 106 project\deis\controller\api\admin.py,1,1,1,1,7,0,0,0,,,,,7,1,,0,,,,,89,18,46,39,29,25,1,0,46,39,29,1,1,1,1,1,1,1,1,,0,"0.54",1,1,1,1
Module File,"D:\thesis2\real 106 project\deis\controller\api\authentication.py",D:\thesis2\real 106 project\deis\controller\api\authentication.py,1,1,1,1,6,0,3,3,,,,,2,2,,2,,,,,24,6,12,7,5,6,0,0,12,7,5,0,0,0,0,2,2,2,1,,1,"0.50",3,3,3,2
Module File,"D:\thesis2\real 106 project\deis\controller\api\exceptions.py",D:\thesis2\real 106 project\deis\controller\api\exceptions.py,0,0,0,0,0,0,0,0,,,,,1,0,,0,,,,,3,0,2,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,,0,"0.50",0,0,0,0
Module File,"D:\thesis2\real 106 project\deis\controller\api\fields.py",D:\thesis2\real 106 project\deis\controller\api\fields.py,1,1,2,1,6,0,6,0,,,,,1,5,,4,,,,,55,11,36,13,26,9,2,0,31,13,21,2,2,2,1,2,2,3,1,,1,"0.25",8,8,10,5
File,"D:\thesis2\real 106 project\deis\controller\api\management\__init__.py",D:\thesis2\real 106 project\deis\controller\api\management\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
File,"D:\thesis2\real 106 project\deis\controller\api\management\commands\__init__.py",D:\thesis2\real 106 project\deis\controller\api\management\commands\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
