Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Module File,"D:\thesis2\real 106 project\django-tastypie\docs\conf.py",D:\thesis2\real 106 project\django-tastypie\docs\conf.py,1,1,1,1,24,0,0,0,,,,,0,1,,0,,,,,209,53,25,15,24,131,1,0,16,15,15,1,1,1,1,1,1,1,1,,0,"5.24",1,1,1,1
Module File,"D:\thesis2\real 106 project\django-tastypie\setup.py",D:\thesis2\real 106 project\django-tastypie\setup.py,2,2,2,1,48,0,0,0,,,,,0,1,,0,,,,,55,2,51,3,48,2,2,0,7,3,4,2,2,2,1,2,2,2,1,,1,"0.04",2,2,2,1
File,"D:\thesis2\real 106 project\django-tastypie\tastypie\__init__.py",D:\thesis2\real 106 project\django-tastypie\tastypie\__init__.py,1,1,1,1,2,0,0,0,,,,,0,1,,0,,,,,5,2,3,3,2,0,1,0,3,3,2,1,1,1,1,1,1,1,1,,0,"0.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\django-tastypie\tastypie\admin.py",D:\thesis2\real 106 project\django-tastypie\tastypie\admin.py,4,4,5,3,7,0,0,0,,,,,1,1,,0,,,,,20,6,14,8,9,0,5,1,13,8,8,4,4,5,3,4,4,5,3,,2,"0.00",4,4,5,3
Module File,"D:\thesis2\real 106 project\django-tastypie\tastypie\api.py",D:\thesis2\real 106 project\django-tastypie\tastypie\api.py,2,2,2,1,11,1,7,2,,,,,2,14,,14,,,,,194,41,108,47,80,45,0,0,95,46,68,0,0,0,0,6,6,6,3,,2,"0.42",30,30,30,18
Module File,"D:\thesis2\real 106 project\django-tastypie\tastypie\authentication.py",D:\thesis2\real 106 project\django-tastypie\tastypie\authentication.py,2,2,3,2,13,2,7,2,,,,,7,30,,29,,,,,521,121,263,106,205,137,16,1,251,105,193,5,5,5,1,8,8,9,8,,3,"0.52",81,81,91,69
Module File,"D:\thesis2\real 106 project\django-tastypie\tastypie\authorization.py",D:\thesis2\real 106 project\django-tastypie\tastypie\authorization.py,1,1,1,1,7,1,4,1,,,,,3,27,,27,,,,,265,74,125,48,92,66,0,0,107,48,74,0,0,0,0,3,3,4,3,,1,"0.53",43,43,44,41
Module File,"D:\thesis2\real 106 project\django-tastypie\tastypie\bundle.py",D:\thesis2\real 106 project\django-tastypie\tastypie\bundle.py,1,1,3,1,10,0,10,0,,,,,1,2,,2,,,,,35,4,24,23,10,7,0,0,15,14,10,0,0,0,0,1,1,5,1,,0,"0.29",2,2,6,2
Module File,"D:\thesis2\real 106 project\django-tastypie\tastypie\cache.py",D:\thesis2\real 106 project\django-tastypie\tastypie\cache.py,1,1,1,1,8,0,4,3,,,,,2,9,,9,,,,,98,20,42,20,28,36,0,0,36,19,23,0,0,0,0,3,3,3,1,,1,"0.86",13,13,15,9
Module File,"D:\thesis2\real 106 project\django-tastypie\tastypie\compat.py",D:\thesis2\real 106 project\django-tastypie\tastypie\compat.py,1,1,1,1,3,0,2,0,,,,,0,6,,5,,,,,34,12,20,13,10,2,2,0,19,13,9,2,2,3,1,2,2,3,1,,1,"0.10",7,7,9,6
