Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"D:\thesis2\real 106 project\jieba\jieba\__init__.py",D:\thesis2\real 106 project\jieba\jieba\__init__.py,3,3,3,1,14,0,11,1,,,,,1,35,,34,,,,,578,75,443,181,389,62,2,0,405,178,351,2,2,2,1,13,13,15,4,,6,"0.14",131,131,138,45
Module File,"D:\thesis2\real 106 project\jieba\jieba\__main__.py",D:\thesis2\real 106 project\jieba\jieba\__main__.py,7,7,7,1,39,0,0,0,,,,,0,1,,0,,,,,50,6,43,13,39,1,24,1,34,13,30,7,7,7,1,7,7,7,1,,2,"0.02",7,7,7,1
Module File,"D:\thesis2\real 106 project\jieba\jieba\_compat.py",D:\thesis2\real 106 project\jieba\jieba\_compat.py,2,2,2,1,11,0,7,0,,,,,0,2,,1,,,,,31,7,23,10,21,1,2,0,22,10,20,2,2,2,1,3,3,3,1,,2,"0.04",5,5,5,2
File,"D:\thesis2\real 106 project\jieba\jieba\analyse\__init__.py",D:\thesis2\real 106 project\jieba\jieba\analyse\__init__.py,1,1,1,1,5,0,3,0,,,,,0,2,,1,,,,,18,3,15,10,10,0,2,0,15,10,10,2,2,2,1,2,2,2,1,,1,"0.00",3,3,3,2
Module File,"D:\thesis2\real 106 project\jieba\jieba\analyse\analyzer.py",D:\thesis2\real 106 project\jieba\jieba\analyse\analyzer.py,1,1,2,1,7,0,7,0,,,,,1,3,,2,,,,,37,8,28,14,19,1,1,0,22,14,13,1,1,1,1,3,3,4,3,,2,"0.04",5,5,6,5
Module File,"D:\thesis2\real 106 project\jieba\jieba\analyse\textrank.py",D:\thesis2\real 106 project\jieba\jieba\analyse\textrank.py,3,3,4,1,13,1,10,2,,,,,2,6,,6,,,,,104,19,71,39,56,15,0,0,67,39,52,0,0,0,0,9,9,10,6,,4,"0.21",22,22,25,11
Module File,"D:\thesis2\real 106 project\jieba\jieba\analyse\tfidf.py",D:\thesis2\real 106 project\jieba\jieba\analyse\tfidf.py,2,2,2,1,8,0,8,1,,,,,3,9,,8,,,,,111,18,83,41,67,10,1,0,73,41,57,1,1,1,1,9,9,10,5,,3,"0.12",23,23,25,13
File,"D:\thesis2\real 106 project\jieba\jieba\finalseg\__init__.py",D:\thesis2\real 106 project\jieba\jieba\finalseg\__init__.py,3,3,3,1,16,1,15,0,,,,,0,5,,4,,,,,107,20,86,44,72,3,2,0,75,43,61,2,2,2,1,6,6,6,1,,4,"0.03",19,19,19,5
Module File,"D:\thesis2\real 106 project\jieba\jieba\finalseg\prob_emit.py",D:\thesis2\real 106 project\jieba\jieba\finalseg\prob_emit.py,1,1,1,1,35224,0,0,0,,,,,0,1,,0,,,,,35226,1,35225,2,35224,0,1,0,2,2,1,1,1,1,1,1,1,1,1,,0,"0.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\jieba\jieba\finalseg\prob_start.py",D:\thesis2\real 106 project\jieba\jieba\finalseg\prob_start.py,1,1,1,1,4,0,0,0,,,,,0,1,,0,,,,,4,0,4,1,4,0,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,"0.00",1,1,1,1
