Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unknown Class,"ABCMeta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"BufferedWriter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"CalledProcessError",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Config",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Config",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Config",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Config",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Config",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Config",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"CopyToTable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Module File,"D:\thesis2\real 106 project\luigi\doc\conf.py",D:\thesis2\real 106 project\luigi\doc\conf.py,3,3,3,2,27,2,3,5,,,,,0,2,,1,,,,,301,79,53,27,47,170,6,1,38,27,32,4,4,4,3,4,4,4,3,,2,"3.21",6,6,6,4
File,"D:\thesis2\real 106 project\luigi\dummy_test_module\__init__.py",D:\thesis2\real 106 project\luigi\dummy_test_module\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\luigi\dummy_test_module\not_imported.py",D:\thesis2\real 106 project\luigi\dummy_test_module\not_imported.py,1,1,1,1,2,0,2,0,,,,,1,1,,1,,,,,6,2,4,3,1,0,0,0,4,3,1,0,0,0,0,1,1,1,1,,0,"0.00",1,1,1,1
File,"D:\thesis2\real 106 project\luigi\examples\__init__.py",D:\thesis2\real 106 project\luigi\examples\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\luigi\examples\dynamic_requirements.py",D:\thesis2\real 106 project\luigi\examples\dynamic_requirements.py,1,1,1,1,7,1,4,3,,,,,3,7,,6,,,,,96,23,37,22,25,36,2,0,36,19,24,2,2,2,1,2,2,2,1,,1,"0.97",8,8,8,7
Module File,"D:\thesis2\real 106 project\luigi\examples\elasticsearch_index.py",D:\thesis2\real 106 project\luigi\examples\elasticsearch_index.py,1,1,1,1,9,2,3,6,,,,,2,4,,3,,,,,115,31,25,18,16,59,2,0,24,17,15,2,2,2,1,2,2,2,1,,2,"2.36",6,6,6,4
Module File,"D:\thesis2\real 106 project\luigi\examples\execution_summary_example.py",D:\thesis2\real 106 project\luigi\examples\execution_summary_example.py,1,1,1,1,2,0,2,0,,,,,6,11,,11,,,,,120,31,48,33,28,41,0,0,48,33,28,0,0,0,0,3,3,3,1,,1,"0.85",14,14,14,11
Module File,"D:\thesis2\real 106 project\luigi\examples\foo.py",D:\thesis2\real 106 project\luigi\examples\foo.py,1,1,1,1,4,0,2,1,,,,,2,5,,4,,,,,60,14,25,15,14,21,3,0,25,15,14,3,3,3,1,3,3,3,1,,2,"0.84",8,8,8,5
Module File,"D:\thesis2\real 106 project\luigi\examples\foo_complex.py",D:\thesis2\real 106 project\luigi\examples\foo_complex.py,1,1,1,1,5,0,4,1,,,,,2,6,,5,,,,,76,18,37,23,23,21,3,0,37,23,23,3,3,3,1,3,3,3,1,,2,"0.57",11,11,11,6
Module File,"D:\thesis2\real 106 project\luigi\examples\ftp_experiment_outputs.py",D:\thesis2\real 106 project\luigi\examples\ftp_experiment_outputs.py,1,1,1,1,10,1,4,4,,,,,2,6,,5,,,,,105,20,34,20,24,51,2,0,34,18,24,2,2,2,1,2,2,2,1,,1,"1.50",8,8,8,6
Module File,"D:\thesis2\real 106 project\luigi\examples\hello_world.py",D:\thesis2\real 106 project\luigi\examples\hello_world.py,1,1,1,1,2,0,2,0,,,,,1,2,,1,,,,,11,4,7,4,4,0,2,0,7,4,4,2,2,2,1,2,2,2,1,,1,"0.00",3,3,3,2
Module File,"D:\thesis2\real 106 project\luigi\examples\pyspark_wc.py",D:\thesis2\real 106 project\luigi\examples\pyspark_wc.py,1,1,1,1,2,0,2,0,,,,,2,7,,6,,,,,107,25,28,18,17,54,1,0,25,18,14,1,1,1,1,1,1,1,1,,0,"1.93",7,7,7,7
Module File,"D:\thesis2\real 106 project\luigi\examples\spark_als.py",D:\thesis2\real 106 project\luigi\examples\spark_als.py,1,1,1,1,9,1,2,5,,,,,2,6,,5,,,,,146,34,28,23,16,84,1,0,29,22,17,1,1,1,1,2,2,2,1,,1,"3.00",7,7,7,6
Module File,"D:\thesis2\real 106 project\luigi\examples\ssh_remote_execution.py",D:\thesis2\real 106 project\luigi\examples\ssh_remote_execution.py,1,1,1,1,9,1,5,3,,,,,2,6,,5,,,,,103,23,39,22,26,41,2,0,30,20,17,2,2,2,1,3,3,3,1,,2,"1.05",9,9,9,6
Module File,"D:\thesis2\real 106 project\luigi\examples\terasort.py",D:\thesis2\real 106 project\luigi\examples\terasort.py,1,1,1,1,5,0,2,1,,,,,2,11,,10,,,,,116,28,48,26,31,40,2,0,44,26,27,2,2,2,1,3,3,3,3,,1,"0.83",14,14,14,13
Module File,"D:\thesis2\real 106 project\luigi\examples\top_artists.py",D:\thesis2\real 106 project\luigi\examples\top_artists.py,1,1,1,1,9,1,4,4,,,,,7,17,,16,,,,,282,62,98,62,67,123,2,0,83,57,52,2,2,2,1,4,4,4,1,,3,"1.26",25,25,25,17
Module File,"D:\thesis2\real 106 project\luigi\examples\wordcount.py",D:\thesis2\real 106 project\luigi\examples\wordcount.py,2,2,2,1,11,1,4,6,,,,,2,4,,4,,,,,80,15,22,14,14,46,0,0,22,14,14,0,0,0,0,5,5,5,1,,3,"2.09",8,8,8,4
Module File,"D:\thesis2\real 106 project\luigi\examples\wordcount_hadoop.py",D:\thesis2\real 106 project\luigi\examples\wordcount_hadoop.py,1,1,1,1,5,0,2,3,,,,,2,6,,5,,,,,88,20,20,13,10,48,2,0,20,13,10,2,2,2,1,2,2,2,1,,1,"2.40",8,8,8,6
File,"D:\thesis2\real 106 project\luigi\luigi\__init__.py",D:\thesis2\real 106 project\luigi\luigi\__init__.py,1,1,1,1,9,0,0,0,,,,,0,1,,0,,,,,61,11,31,23,9,21,1,0,17,17,1,1,1,1,1,1,1,1,1,,0,"0.68",1,1,1,1
