Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Module File,"D:\thesis2\real 106 project\mailinabox\management\auth.py",D:\thesis2\real 106 project\mailinabox\management\auth.py,2,2,2,2,13,1,9,4,,,,,1,10,,9,,,,,138,24,69,29,55,45,1,0,62,28,48,1,1,1,1,5,5,6,5,,2,"0.65",20,20,21,20
Module File,"D:\thesis2\real 106 project\mailinabox\management\backup.py",D:\thesis2\real 106 project\mailinabox\management\backup.py,4,4,5,2,30,3,21,8,,,,,0,14,,13,,,,,442,65,267,76,246,114,3,0,209,72,188,3,3,3,1,14,14,17,11,,3,"0.43",66,66,70,41
Module File,"D:\thesis2\real 106 project\mailinabox\management\daemon.py",D:\thesis2\real 106 project\mailinabox\management\daemon.py,1,1,1,1,7,0,6,0,,,,,1,46,,45,,,,,472,82,341,144,196,51,18,1,221,98,148,6,6,6,1,11,11,13,6,,3,"0.15",78,78,86,53
Module File,"D:\thesis2\real 106 project\mailinabox\management\dns_update.py",D:\thesis2\real 106 project\mailinabox\management\dns_update.py,7,7,8,4,42,5,25,14,,,,,0,21,,20,,,,,941,144,518,155,486,298,5,1,442,147,411,5,5,5,1,27,27,34,19,,5,"0.58",158,158,182,99
Module File,"D:\thesis2\real 106 project\mailinabox\management\mail_log.py",D:\thesis2\real 106 project\mailinabox\management\mail_log.py,6,6,6,1,17,3,16,1,,,,,0,6,,5,,,,,121,25,90,29,80,7,2,0,80,28,70,2,2,2,1,15,15,15,4,,3,"0.08",36,36,39,11
Module File,"D:\thesis2\real 106 project\mailinabox\management\mailconfig.py",D:\thesis2\real 106 project\mailinabox\management\mailconfig.py,3,3,4,2,20,2,12,6,,,,,0,29,,28,,,,,612,96,352,97,316,170,5,1,316,97,280,5,5,7,4,18,18,21,17,,4,"0.48",112,112,123,82
Module File,"D:\thesis2\real 106 project\mailinabox\management\status_checks.py",D:\thesis2\real 106 project\mailinabox\management\status_checks.py,5,5,5,2,27,3,19,5,,,,,1,36,,35,,,,,1052,159,700,192,619,199,8,1,554,186,494,8,8,8,7,20,20,23,16,,5,"0.28",180,180,200,84
Module File,"D:\thesis2\real 106 project\mailinabox\management\utils.py",D:\thesis2\real 106 project\mailinabox\management\utils.py,3,3,3,2,14,0,10,3,,,,,0,16,,15,,,,,255,36,168,66,139,57,3,0,154,60,126,3,3,3,1,7,7,9,5,,5,"0.34",48,48,50,32
Module File,"D:\thesis2\real 106 project\mailinabox\management\web_update.py",D:\thesis2\real 106 project\mailinabox\management\web_update.py,4,4,4,2,29,3,19,6,,,,,0,15,,15,,,,,429,73,267,101,236,98,0,0,222,100,191,0,0,0,0,9,9,9,5,,4,"0.37",66,66,71,35
Module File,"D:\thesis2\real 106 project\mailinabox\setup\migrate.py",D:\thesis2\real 106 project\mailinabox\setup\migrate.py,2,2,2,1,13,1,9,3,,,,,0,13,,12,,,,,191,36,112,42,96,46,4,1,113,39,98,4,4,4,1,9,9,9,5,,4,"0.41",37,37,37,23
