Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"D:\thesis2\real 106 project\nltk\nltk\__init__.py",D:\thesis2\real 106 project\nltk\nltk\__init__.py,3,3,3,1,19,0,2,0,,,,,0,4,,3,,,,,185,29,113,58,75,44,288,2,84,55,46,10,10,10,1,10,10,10,1,,2,"0.39",13,13,13,4
File,"D:\thesis2\real 106 project\nltk\nltk\app\__init__.py",D:\thesis2\real 106 project\nltk\nltk\app\__init__.py,2,2,2,1,6,0,3,0,,,,,0,2,,1,,,,,53,6,27,16,11,20,3,0,25,16,9,3,3,3,1,3,3,3,1,,2,"0.74",4,4,4,2
Module File,"D:\thesis2\real 106 project\nltk\nltk\app\chartparser_app.py",D:\thesis2\real 106 project\nltk\nltk\app\chartparser_app.py,2,2,2,1,12,1,9,1,,,,,11,152,,151,,,,,2276,364,1499,502,1321,451,2,0,1357,482,1182,2,2,2,1,10,10,11,6,,4,"0.30",359,359,375,183
Module File,"D:\thesis2\real 106 project\nltk\nltk\app\chunkparser_app.py",D:\thesis2\real 106 project\nltk\nltk\app\chunkparser_app.py,3,3,3,1,25,2,20,4,,,,,1,37,,36,,,,,1263,145,922,212,868,254,2,0,664,202,613,2,2,2,1,10,10,11,8,,4,"0.28",133,133,143,62
Module File,"D:\thesis2\real 106 project\nltk\nltk\app\collocations_app.py",D:\thesis2\real 106 project\nltk\nltk\app\collocations_app.py,1,1,1,1,7,0,6,0,,,,,3,36,,35,,,,,348,49,287,109,236,13,4,1,239,105,191,3,3,3,1,4,4,4,1,,2,"0.05",52,52,53,36
Module File,"D:\thesis2\real 106 project\nltk\nltk\app\concordance_app.py",D:\thesis2\real 106 project\nltk\nltk\app\concordance_app.py,1,1,1,1,8,0,7,0,,,,,4,54,,53,,,,,570,77,480,166,409,16,4,1,391,162,323,3,3,3,1,7,7,7,5,,3,"0.03",90,90,92,60
Module File,"D:\thesis2\real 106 project\nltk\nltk\app\nemo_app.py",D:\thesis2\real 106 project\nltk\nltk\app\nemo_app.py,1,1,1,1,12,0,9,0,,,,,3,10,,9,,,,,155,15,133,43,116,12,2,0,100,43,83,2,2,2,1,3,3,3,1,,1,"0.09",16,16,16,10
Module File,"D:\thesis2\real 106 project\nltk\nltk\app\rdparser_app.py",D:\thesis2\real 106 project\nltk\nltk\app\rdparser_app.py,2,2,2,1,14,1,12,1,,,,,1,50,,49,,,,,894,124,605,174,548,187,2,0,529,173,469,2,2,2,1,8,8,8,3,,3,"0.31",126,126,129,56
Module File,"D:\thesis2\real 106 project\nltk\nltk\app\srparser_app.py",D:\thesis2\real 106 project\nltk\nltk\app\srparser_app.py,2,2,2,1,17,1,13,3,,,,,1,38,,37,,,,,809,117,503,147,454,216,2,0,421,146,373,2,2,2,1,10,10,10,3,,3,"0.43",91,91,93,44
Module File,"D:\thesis2\real 106 project\nltk\nltk\app\wordfreq_app.py",D:\thesis2\real 106 project\nltk\nltk\app\wordfreq_app.py,1,1,1,1,6,0,7,0,,,,,0,3,,2,,,,,32,6,20,10,15,6,2,0,20,10,15,2,2,2,1,2,2,2,1,,1,"0.30",4,4,4,3
