Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"D:\thesis2\real 106 project\pgcli\pgcli\__init__.py",D:\thesis2\real 106 project\pgcli\pgcli\__init__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,"0.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\pgcli\pgcli\completion_refresher.py",D:\thesis2\real 106 project\pgcli\pgcli\completion_refresher.py,1,1,1,1,6,0,4,1,,,,,1,13,,12,,,,,108,20,69,32,45,19,2,0,59,26,41,2,2,2,1,6,6,6,4,,3,"0.28",20,20,21,16
Module File,"D:\thesis2\real 106 project\pgcli\pgcli\config.py",D:\thesis2\real 106 project\pgcli\pgcli\config.py,1,1,1,1,5,0,4,0,,,,,0,4,,4,,,,,30,6,24,11,15,0,0,0,23,11,14,0,0,0,0,2,2,3,1,,1,"0.00",6,6,7,4
Module File,"D:\thesis2\real 106 project\pgcli\pgcli\encodingutils.py",D:\thesis2\real 106 project\pgcli\pgcli\encodingutils.py,1,1,2,1,6,1,4,4,,,,,0,3,,2,,,,,24,5,11,5,8,8,1,0,11,5,8,1,1,1,1,2,2,3,1,,1,"0.73",5,5,7,3
Module File,"D:\thesis2\real 106 project\pgcli\pgcli\filters.py",D:\thesis2\real 106 project\pgcli\pgcli\filters.py,1,1,1,1,3,0,3,0,,,,,1,2,,2,,,,,12,3,8,5,4,1,0,0,7,5,3,0,0,0,0,1,1,2,1,,0,"0.12",2,2,3,2
Module File,"D:\thesis2\real 106 project\pgcli\pgcli\key_bindings.py",D:\thesis2\real 106 project\pgcli\pgcli\key_bindings.py,1,1,1,1,17,2,10,6,,,,,0,8,,7,,,,,89,15,50,25,32,24,1,0,39,19,27,1,1,1,1,2,2,2,1,,1,"0.48",10,10,10,8
Module File,"D:\thesis2\real 106 project\pgcli\pgcli\magic.py",D:\thesis2\real 106 project\pgcli\pgcli\magic.py,3,3,3,2,16,5,15,4,,,,,0,3,,2,,,,,58,14,36,13,30,8,1,0,36,13,30,1,1,1,1,6,6,6,4,,1,"0.22",9,9,9,6
Module File,"D:\thesis2\real 106 project\pgcli\pgcli\main.py",D:\thesis2\real 106 project\pgcli\pgcli\main.py,3,3,3,1,19,2,14,2,,,,,1,27,,26,,,,,616,100,450,151,358,73,4,1,353,142,283,3,3,3,1,20,20,23,12,,6,"0.16",86,86,101,51
File,"D:\thesis2\real 106 project\pgcli\pgcli\packages\__init__.py",D:\thesis2\real 106 project\pgcli\pgcli\packages\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\pgcli\pgcli\packages\counter.py",D:\thesis2\real 106 project\pgcli\pgcli\packages\counter.py,2,2,2,1,11,1,6,3,,,,,1,13,,13,,,,,187,39,85,37,67,64,0,0,81,36,64,0,0,0,0,7,7,7,1,,4,"0.75",37,37,37,13
Module File,"D:\thesis2\real 106 project\pgcli\pgcli\packages\expanded.py",D:\thesis2\real 106 project\pgcli\pgcli\packages\expanded.py,3,3,3,1,14,3,11,0,,,,,0,2,,2,,,,,32,8,24,14,21,0,0,0,24,14,21,0,0,0,0,5,5,5,1,,2,"0.00",6,6,6,2
Module File,"D:\thesis2\real 106 project\pgcli\pgcli\packages\function_metadata.py",D:\thesis2\real 106 project\pgcli\pgcli\packages\function_metadata.py,2,2,3,1,10,0,8,2,,,,,2,11,,10,,,,,149,33,88,38,72,28,1,0,70,37,55,1,1,1,1,15,15,20,3,,4,"0.32",29,29,37,15
