Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unknown Class,"BaseHandler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"BaseOption",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"BaseParser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"ConfigParser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
File,"D:\thesis2\real 106 project\python-mode\pymode\__init__.py",D:\thesis2\real 106 project\python-mode\pymode\__init__.py,1,1,1,1,13,1,11,1,,,,,1,2,,2,,,,,37,9,25,22,17,4,0,0,25,22,17,0,0,0,0,1,1,1,1,,0,"0.16",2,2,2,2
Module File,"D:\thesis2\real 106 project\python-mode\pymode\_compat.py",D:\thesis2\real 106 project\python-mode\pymode\_compat.py,2,2,2,1,9,0,4,1,,,,,2,7,,6,,,,,98,19,57,25,44,23,10,1,56,25,43,6,6,6,5,6,6,6,5,,4,"0.40",14,14,14,11
Module File,"D:\thesis2\real 106 project\python-mode\pymode\async.py",D:\thesis2\real 106 project\python-mode\pymode\async.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,6,3,2,2,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,,0,"0.50",1,1,1,1
Module File,"D:\thesis2\real 106 project\python-mode\pymode\autopep8.py",D:\thesis2\real 106 project\python-mode\pymode\autopep8.py,3,3,4,2,17,2,12,2,,,,,16,178,,177,,,,,3654,781,2369,743,2095,550,8,1,1760,683,1535,4,4,5,1,38,38,60,16,,7,"0.23",643,643,820,361
Module File,"D:\thesis2\real 106 project\python-mode\pymode\environment.py",D:\thesis2\real 106 project\python-mode\pymode\environment.py,1,1,2,1,8,1,5,2,,,,,1,24,,23,,,,,249,61,144,57,104,48,1,0,128,46,98,1,1,1,1,5,5,5,3,,2,"0.33",47,47,53,30
File,"D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\__init__.py",D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\__init__.py,1,1,1,1,13,0,0,0,,,,,0,1,,0,,,,,17,3,13,3,13,1,1,0,3,3,3,1,1,1,1,1,1,1,1,,0,"0.08",1,1,1,1
File,"D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\__init__.py",D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\__init__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,8,3,1,1,1,4,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,"4.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\arguments.py",D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\arguments.py,1,1,2,1,5,0,4,0,,,,,3,15,,15,,,,,111,25,79,37,59,7,0,0,71,37,51,0,0,0,0,4,4,7,4,,2,"0.09",28,28,33,18
Module File,"D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\ast.py",D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\ast.py,4,4,5,1,11,0,10,1,,,,,0,5,,5,,,,,71,11,55,22,47,5,0,0,55,21,47,0,0,0,0,8,8,8,4,,5,"0.09",24,24,26,8
Module File,"D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\astutils.py",D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\astutils.py,1,1,1,1,5,0,4,0,,,,,1,9,,9,,,,,61,16,38,19,27,7,0,0,38,19,27,0,0,0,0,3,3,3,1,,1,"0.18",13,13,13,9
Module File,"D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\builtins.py",D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\builtins.py,1,1,1,1,5,0,5,0,,,,,20,105,,104,,,,,790,184,600,260,463,6,1,0,515,252,388,1,1,1,1,7,7,9,6,,4,"0.01",180,180,192,130
Module File,"D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\change.py",D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\change.py,1,1,1,1,4,0,4,0,,,,,11,63,,63,,,,,450,106,292,147,202,52,0,0,262,137,182,0,0,0,0,5,5,5,4,,2,"0.18",101,101,101,68
Module File,"D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\codeanalyze.py",D:\thesis2\real 106 project\python-mode\pymode\libs2\rope\base\codeanalyze.py,2,2,2,1,6,0,6,0,,,,,7,42,,41,,,,,364,68,289,129,234,13,1,0,274,125,221,1,1,1,1,12,12,17,11,,7,"0.04",105,105,121,77
