Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Module File,"D:\thesis2\real 106 project\speedtest-cli\setup.py",D:\thesis2\real 106 project\speedtest-cli\setup.py,2,2,2,2,30,1,12,4,,,,,0,2,,1,,,,,93,10,59,11,54,24,2,0,23,11,18,2,2,2,1,3,3,3,3,,1,"0.41",5,5,5,4
Module File,"D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,5,5,5,3,27,2,23,1,,,,,3,26,,25,,,,,798,117,614,189,554,70,3456,4,520,189,460,14,14,14,3,39,39,45,18,,5,"0.11",143,143,155,80
Unknown Class,"Thread",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Function,"setup.find_version(file_paths)",D:\thesis2\real 106 project\speedtest-cli\setup.py,,,,,,,,,,,,,,,,,,,,,17,1,12,4,11,4,4,1,11,4,10,3,3,3,3,,,,,,1,"0.33",,,,
Class,"speedtest_cli.FileGetter",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,3,3,3,3,9,0,9,0,1,1,0,0,,,,,2,3,2,2,22,2,19,8,16,1,,,19,8,16,,,,,5,5,6,5,1,4,"0.05",6,6,7,6
Function,"speedtest_cli.FileGetter.__init__(self,url,start)",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,,,,,,,,,,,,,,,,,,,,,5,0,5,4,4,0,1,0,5,4,4,1,1,1,1,,,,,,0,"0.00",,,,
Function,"speedtest_cli.FileGetter.run(self)",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,,,,,,,,,,,,,,,,,,,,,13,0,13,3,12,0,5,1,13,3,12,5,5,6,5,,,,,,4,"0.00",,,,
Class,"speedtest_cli.FilePutter",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,2,2,2,1,11,0,11,0,1,2,0,0,,,,,2,4,2,2,26,2,23,11,20,1,,,21,11,18,,,,,3,3,4,1,1,2,"0.04",4,4,5,2
Function,"speedtest_cli.FilePutter.__init__(self,url,start,size)",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,,,,,,,,,,,,,,,,,,,,,9,0,9,7,8,0,1,0,9,7,8,1,1,1,1,,,,,,0,"0.00",,,,
Function,"speedtest_cli.FilePutter.run(self)",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,,,,,,,,,,,,,,,,,,,,,13,0,13,3,12,0,3,0,11,3,10,3,3,4,1,,,,,,2,"0.00",,,,
Class,"speedtest_cli.SpeedtestCliServerListError",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0,0,0,12,5,1,1,1,0,3,,,1,1,0,,,,,0,0,0,0,3,0,"3.00",0,0,0,0
Function,"speedtest_cli.bound_socket(args,kwargs)",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,,,,,,,,,,,,,,,,,,,,,7,1,5,3,3,1,1,0,5,3,3,1,1,1,1,,,,,,0,"0.20",,,,
Function,"speedtest_cli.build_request(url,data,headers)",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,,,,,,,,,,,,,,,,,,,,,14,4,7,2,6,3,2,0,6,2,5,2,2,2,1,,,,,,1,"0.43",,,,
Function,"speedtest_cli.build_user_agent()",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,,,,,,,,,,,,,,,,,,,,,16,2,13,3,11,1,2,0,7,3,5,2,2,2,1,,,,,,1,"0.08",,,,
Function,"speedtest_cli.catch_request(request)",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,,,,,,,,,,,,,,,,,,,,,12,2,7,3,6,3,2,0,7,3,6,2,2,2,1,,,,,,1,"0.43",,,,
Function,"speedtest_cli.closestServers(client,all)",D:\thesis2\real 106 project\speedtest-cli\speedtest_cli.py,,,,,,,,,,,,,,,,,,,,,79,5,70,15,69,5,1815,3,60,15,59,17,17,18,13,,,,,,4,"0.07",,,,
