Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unknown Class,"BaseHandler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"BaseHandler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Completer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
File,"D:\thesis2\real 106 project\sqlmap\extra\__init__.py",D:\thesis2\real 106 project\sqlmap\extra\__init__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,8,2,1,0,1,5,1,0,1,0,1,1,1,1,1,1,1,1,1,,0,"5.00",1,1,1,1
File,"D:\thesis2\real 106 project\sqlmap\extra\beep\__init__.py",D:\thesis2\real 106 project\sqlmap\extra\beep\__init__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,8,2,1,0,1,5,1,0,1,0,1,1,1,1,1,1,1,1,1,,0,"5.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\sqlmap\extra\beep\beep.py",D:\thesis2\real 106 project\sqlmap\extra\beep\beep.py,3,3,3,2,12,3,11,0,,,,,1,6,,5,,,,,96,26,64,26,51,7,2,0,61,26,48,2,2,2,1,9,9,9,9,,2,"0.11",20,20,20,14
File,"D:\thesis2\real 106 project\sqlmap\extra\cloak\__init__.py",D:\thesis2\real 106 project\sqlmap\extra\cloak\__init__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,8,2,1,0,1,5,1,0,1,0,1,1,1,1,1,1,1,1,1,,0,"5.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\sqlmap\extra\cloak\cloak.py",D:\thesis2\real 106 project\sqlmap\extra\cloak\cloak.py,3,3,3,1,13,2,13,0,,,,,0,5,,4,,,,,85,20,59,19,50,6,2,0,55,16,46,2,2,2,1,7,7,7,1,,2,"0.10",17,17,17,5
File,"D:\thesis2\real 106 project\sqlmap\extra\dbgtool\__init__.py",D:\thesis2\real 106 project\sqlmap\extra\dbgtool\__init__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,8,2,1,0,1,5,1,0,1,0,1,1,1,1,1,1,1,1,1,,0,"5.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\sqlmap\extra\dbgtool\dbgtool.py",D:\thesis2\real 106 project\sqlmap\extra\dbgtool\dbgtool.py,4,4,4,1,23,6,22,0,,,,,0,3,,2,,,,,95,26,63,25,56,6,4,1,60,24,53,4,4,4,1,7,7,7,1,,3,"0.10",14,14,14,3
File,"D:\thesis2\real 106 project\sqlmap\extra\icmpsh\__init__.py",D:\thesis2\real 106 project\sqlmap\extra\icmpsh\__init__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,22,1,1,0,1,20,1,0,1,0,1,1,1,1,1,1,1,1,1,,0,"20.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\sqlmap\extra\icmpsh\icmpsh_m.py",D:\thesis2\real 106 project\sqlmap\extra\icmpsh\icmpsh_m.py,5,5,5,4,36,11,29,10,,,,,0,3,,2,,,,,138,27,70,24,60,41,3,0,70,24,60,3,3,3,3,11,11,13,9,,4,"0.59",15,15,17,13
Module File,"D:\thesis2\real 106 project\sqlmap\extra\mssqlsig\update.py",D:\thesis2\real 106 project\sqlmap\extra\mssqlsig\update.py,8,8,9,3,58,23,79,11,,,,,0,2,,1,,,,,137,30,89,35,82,18,2,0,88,35,81,2,2,2,1,15,15,16,5,,3,"0.20",17,17,18,6
File,"D:\thesis2\real 106 project\sqlmap\extra\safe2bin\__init__.py",D:\thesis2\real 106 project\sqlmap\extra\safe2bin\__init__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,8,2,1,0,1,5,1,0,1,0,1,1,1,1,1,1,1,1,1,,0,"5.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\sqlmap\extra\safe2bin\safe2bin.py",D:\thesis2\real 106 project\sqlmap\extra\safe2bin\safe2bin.py,6,6,6,2,25,7,20,3,,,,,0,4,,3,,,,,131,35,75,28,65,21,2,0,71,27,61,2,2,2,1,12,12,12,7,,4,"0.28",26,26,26,10
Module File,"D:\thesis2\real 106 project\sqlmap\extra\shutils\duplicates.py",D:\thesis2\real 106 project\sqlmap\extra\shutils\duplicates.py,6,6,6,1,16,0,0,0,,,,,0,1,,0,,,,,27,6,17,4,16,4,6,1,16,3,15,6,6,6,1,6,6,6,1,,6,"0.24",6,6,6,1
Module File,"D:\thesis2\real 106 project\sqlmap\extra\shutils\pylint.py",D:\thesis2\real 106 project\sqlmap\extra\shutils\pylint.py,6,6,6,2,18,2,13,0,,,,,0,2,,1,,,,,50,10,37,15,32,3,21,1,37,15,32,7,7,7,4,7,7,7,4,,3,"0.08",12,12,13,5
Module File,"D:\thesis2\real 106 project\sqlmap\extra\shutils\regressiontest.py",D:\thesis2\real 106 project\sqlmap\extra\shutils\regressiontest.py,4,4,4,1,27,6,22,1,,,,,0,5,,4,,,,,165,39,121,63,98,10,3,0,118,61,95,3,3,3,1,15,15,15,1,,2,"0.08",23,23,23,5
File,"D:\thesis2\real 106 project\sqlmap\extra\sqlharvest\__init__.py",D:\thesis2\real 106 project\sqlmap\extra\sqlharvest\__init__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,8,2,1,0,1,5,1,0,1,0,1,1,1,1,1,1,1,1,1,,0,"5.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\sqlmap\extra\sqlharvest\sqlharvest.py",D:\thesis2\real 106 project\sqlmap\extra\sqlharvest\sqlharvest.py,12,12,13,7,61,25,86,2,,,,,0,2,,1,,,,,141,31,105,40,96,8,2,0,103,38,94,2,2,2,1,23,23,25,13,,7,"0.08",25,25,27,14
File,"D:\thesis2\real 106 project\sqlmap\lib\__init__.py",D:\thesis2\real 106 project\sqlmap\lib\__init__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,8,2,1,0,1,5,1,0,1,0,1,1,1,1,1,1,1,1,1,,0,"5.00",1,1,1,1
