Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Module File,"D:\thesis2\real 106 project\yapf\setup.py",D:\thesis2\real 106 project\yapf\setup.py,1,1,1,1,9,0,3,0,,,,,1,4,,3,,,,,66,8,44,16,34,14,1,0,20,15,10,1,1,1,1,2,2,2,1,,1,"0.32",5,5,5,4
File,"D:\thesis2\real 106 project\yapf\yapf\__init__.py",D:\thesis2\real 106 project\yapf\yapf\__init__.py,5,5,6,3,41,4,36,10,,,,,0,5,,4,,,,,255,32,158,40,138,66,2,0,94,32,80,2,2,2,1,15,15,18,7,,3,"0.42",28,28,32,16
Module File,"D:\thesis2\real 106 project\yapf\yapf\__main__.py",D:\thesis2\real 106 project\yapf\yapf\__main__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,16,1,2,1,1,13,1,0,2,1,1,1,1,1,1,1,1,1,1,,0,"6.50",1,1,1,1
File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\__init__.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\blank_line_calculator.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\blank_line_calculator.py,2,2,2,1,8,0,6,2,,,,,1,13,,12,,,,,163,30,91,34,75,46,1,0,78,34,62,1,1,1,1,4,4,5,3,,3,"0.51",27,27,31,15
Module File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\comment_splicer.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\comment_splicer.py,4,4,4,2,47,4,30,19,,,,,0,8,,7,,,,,319,43,147,42,133,132,1,0,96,39,85,1,1,1,1,12,12,12,9,,7,"0.90",32,32,36,21
Module File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\continuation_splicer.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\continuation_splicer.py,3,3,3,2,19,1,15,2,,,,,0,2,,2,,,,,50,9,18,8,14,23,0,0,16,8,12,0,0,0,0,5,5,5,3,,2,"1.28",6,6,6,4
Module File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\errors.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\errors.py,0,0,0,0,0,0,0,0,,,,,1,0,,0,,,,,22,3,2,1,1,17,0,0,2,1,1,0,0,0,0,0,0,0,0,,0,"8.50",0,0,0,0
Module File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\file_resources.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\file_resources.py,3,3,4,3,19,2,12,5,,,,,0,5,,5,,,,,134,26,67,20,55,42,0,0,53,17,41,0,0,0,0,6,6,6,5,,3,"0.63",18,18,20,16
Module File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\format_decision_state.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\format_decision_state.py,3,3,6,2,19,2,12,4,,,,,2,20,,19,,,,,487,93,253,77,227,142,1,0,212,77,186,1,1,1,1,19,19,32,19,,4,"0.56",76,76,120,53
Module File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\format_token.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\format_token.py,1,1,1,1,5,0,3,0,,,,,2,27,,26,,,,,259,49,144,86,92,68,1,0,114,68,80,1,1,1,1,6,6,6,3,,2,"0.47",37,37,42,29
Module File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\line_joiner.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\line_joiner.py,4,4,5,4,22,5,12,15,,,,,0,3,,2,,,,,109,24,27,6,24,59,1,0,26,6,23,1,1,1,1,7,7,11,7,,2,"2.19",12,12,17,12
Module File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\py3compat.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\py3compat.py,1,1,1,1,9,0,4,3,,,,,1,4,,3,,,,,85,20,37,18,25,29,2,0,34,18,22,2,2,2,1,2,2,2,1,,1,"0.78",7,7,7,4
Module File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\pytree_unwrapper.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\pytree_unwrapper.py,1,1,2,1,7,0,4,2,,,,,1,31,,30,,,,,324,67,153,59,116,121,1,0,140,59,103,1,1,1,1,6,6,9,6,,4,"0.79",56,56,66,36
Module File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\pytree_utils.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\pytree_utils.py,2,2,2,1,15,2,6,7,,,,,1,13,,12,,,,,283,60,93,41,74,130,1,0,82,40,63,1,1,1,1,6,6,6,5,,3,"1.40",27,27,30,20
Module File,"D:\thesis2\real 106 project\yapf\yapf\yapflib\pytree_visitor.py",D:\thesis2\real 106 project\yapf\yapf\yapflib\pytree_visitor.py,1,1,1,1,8,0,3,3,,,,,2,8,,8,,,,,135,32,34,18,21,69,0,0,32,18,19,0,0,0,0,3,3,3,1,,2,"2.03",11,11,11,8
