Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unknown Class,"ConfigParser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"ContentHandler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"ContentHandler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"ContentHandler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"ContentHandler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
File,"D:\thesis2\9 project\boto\boto\boto\__init__.py",D:\thesis2\9 project\boto\boto\boto\__init__.py,1,1,1,1,18,2,7,8,,,,,1,57,,56,,,,,1216,251,467,226,277,501,1,0,282,160,158,1,1,1,1,11,11,14,6,,3,"1.07",79,79,82,62
Module File,"D:\thesis2\9 project\boto\boto\boto\auth.py",D:\thesis2\9 project\boto\boto\boto\auth.py,2,2,2,1,12,0,8,2,,,,,14,68,,67,,,,,1040,169,637,273,537,234,2,0,566,272,467,2,2,2,1,8,8,8,7,,5,"0.37",151,151,161,84
Module File,"D:\thesis2\9 project\boto\boto\boto\auth_handler.py",D:\thesis2\9 project\boto\boto\boto\auth_handler.py,1,1,1,1,11,2,2,7,,,,,2,2,,2,,,,,60,13,9,6,4,38,0,0,9,6,4,0,0,0,0,1,1,1,1,,0,"4.22",2,2,2,2
File,"D:\thesis2\9 project\boto\boto\boto\awslambda\__init__.py",D:\thesis2\9 project\boto\boto\boto\awslambda\__init__.py,2,2,2,2,7,0,4,2,,,,,0,2,,2,,,,,40,4,10,5,6,26,0,0,9,5,5,0,0,0,0,3,3,3,3,,2,"2.60",4,4,4,4
Module File,"D:\thesis2\9 project\boto\boto\boto\awslambda\exceptions.py",D:\thesis2\9 project\boto\boto\boto\awslambda\exceptions.py,0,0,0,0,0,0,0,0,,,,,4,0,,0,,,,,38,8,9,5,4,21,0,0,9,5,4,0,0,0,0,0,0,0,0,,0,"2.33",0,0,0,0
Module File,"D:\thesis2\9 project\boto\boto\boto\awslambda\layer1.py",D:\thesis2\9 project\boto\boto\boto\awslambda\layer1.py,3,3,3,1,32,4,11,15,,,,,1,14,,14,,,,,517,87,179,68,151,251,0,0,141,61,120,0,0,0,0,10,10,10,3,,2,"1.40",42,42,42,18
File,"D:\thesis2\9 project\boto\boto\boto\beanstalk\__init__.py",D:\thesis2\9 project\boto\boto\boto\beanstalk\__init__.py,2,2,2,2,8,0,5,2,,,,,0,2,,2,,,,,44,5,12,5,8,27,0,0,9,5,5,0,0,0,0,3,3,3,3,,2,"2.25",4,4,4,4
Module File,"D:\thesis2\9 project\boto\boto\boto\beanstalk\exception.py",D:\thesis2\9 project\boto\boto\boto\beanstalk\exception.py,1,1,1,1,5,0,4,0,,,,,27,4,,4,,,,,63,13,46,37,38,4,0,0,72,37,38,0,0,0,0,3,3,3,1,,1,"0.09",6,6,6,4
Module File,"D:\thesis2\9 project\boto\boto\boto\beanstalk\layer1.py",D:\thesis2\9 project\boto\boto\boto\beanstalk\layer1.py,3,3,3,1,33,4,10,18,,,,,1,34,,34,,,,,1201,174,368,126,279,659,0,0,282,77,242,0,0,0,0,12,12,12,1,,2,"1.79",117,117,122,34
Module File,"D:\thesis2\9 project\boto\boto\boto\beanstalk\response.py",D:\thesis2\9 project\boto\boto\boto\beanstalk\response.py,2,2,2,1,9,0,8,0,,,,,55,55,,55,,,,,704,157,540,328,430,7,0,0,527,328,415,0,0,0,0,11,11,11,1,,2,"0.01",124,124,124,55
Module File,"D:\thesis2\9 project\boto\boto\boto\beanstalk\wrapper.py",D:\thesis2\9 project\boto\boto\boto\beanstalk\wrapper.py,1,1,1,1,6,0,6,0,,,,,1,4,,4,,,,,29,5,22,14,13,2,0,0,22,13,13,0,0,0,0,2,2,2,1,,1,"0.09",6,6,6,4
File,"D:\thesis2\9 project\boto\boto\boto\cacerts\__init__.py",D:\thesis2\9 project\boto\boto\boto\cacerts\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
File,"D:\thesis2\9 project\boto\boto\boto\cloudformation\__init__.py",D:\thesis2\9 project\boto\boto\boto\cloudformation\__init__.py,1,1,1,1,9,1,5,6,,,,,0,3,,2,,,,,56,9,13,6,9,34,1,0,10,6,6,1,1,1,1,3,3,3,3,,2,"2.62",5,5,5,5
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudformation\connection.py",D:\thesis2\9 project\boto\boto\boto\cloudformation\connection.py,3,3,3,1,41,5,10,25,,,,,1,20,,20,,,,,922,140,231,83,180,551,0,0,163,60,135,0,0,0,0,21,21,24,1,,3,"2.39",62,62,68,20
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudformation\stack.py",D:\thesis2\9 project\boto\boto\boto\cloudformation\stack.py,2,2,2,1,7,0,6,0,,,,,10,46,,46,,,,,415,61,335,125,276,19,0,0,253,124,195,0,0,0,0,12,12,12,6,,2,"0.06",108,108,110,51
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudformation\template.py",D:\thesis2\9 project\boto\boto\boto\cloudformation\template.py,2,2,2,1,6,0,6,0,,,,,2,6,,6,,,,,51,6,45,20,35,0,0,0,37,20,27,0,0,0,0,5,5,5,3,,1,"0.00",14,14,14,8
File,"D:\thesis2\9 project\boto\boto\boto\cloudfront\__init__.py",D:\thesis2\9 project\boto\boto\boto\cloudfront\__init__.py,1,1,1,1,8,0,7,1,,,,,1,30,,30,,,,,326,43,227,111,171,56,0,0,176,99,132,0,0,0,0,5,5,5,3,,2,"0.25",49,49,51,32
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudfront\distribution.py",D:\thesis2\9 project\boto\boto\boto\cloudfront\distribution.py,3,3,3,1,18,1,11,6,,,,,6,36,,36,,,,,757,87,431,148,358,239,0,0,336,128,282,0,0,0,0,11,11,11,5,,3,"0.55",116,116,121,48
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudfront\exception.py",D:\thesis2\9 project\boto\boto\boto\cloudfront\exception.py,0,0,0,0,0,0,0,0,,,,,1,0,,0,,,,,26,3,3,2,1,20,0,0,3,2,1,0,0,0,0,0,0,0,0,,0,"6.67",0,0,0,0
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudfront\identity.py",D:\thesis2\9 project\boto\boto\boto\cloudfront\identity.py,1,1,1,1,5,0,5,0,,,,,3,14,,14,,,,,121,18,83,36,63,20,0,0,69,34,51,0,0,0,0,4,4,4,1,,1,"0.24",26,26,26,14
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudfront\invalidation.py",D:\thesis2\9 project\boto\boto\boto\cloudfront\invalidation.py,2,2,2,1,6,0,5,1,,,,,3,22,,22,,,,,216,30,123,60,92,63,0,0,107,57,79,0,0,0,0,6,6,6,3,,2,"0.51",45,45,48,24
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudfront\logging.py",D:\thesis2\9 project\boto\boto\boto\cloudfront\logging.py,1,1,1,1,4,0,4,0,,,,,1,3,,3,,,,,38,5,13,6,9,20,0,0,11,6,7,0,0,0,0,3,3,3,1,,1,"1.54",5,5,5,3
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudfront\object.py",D:\thesis2\9 project\boto\boto\boto\cloudfront\object.py,1,1,1,1,4,0,4,0,,,,,2,4,,4,,,,,48,9,19,9,12,20,0,0,18,9,11,0,0,0,0,2,2,2,1,,1,"1.05",5,5,5,4
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudfront\origin.py",D:\thesis2\9 project\boto\boto\boto\cloudfront\origin.py,1,1,1,1,9,0,5,3,,,,,2,11,,11,,,,,150,21,65,24,50,64,0,0,57,23,43,0,0,0,0,7,7,7,1,,2,"0.98",21,21,21,11
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudfront\signers.py",D:\thesis2\9 project\boto\boto\boto\cloudfront\signers.py,1,1,1,1,3,0,3,0,,,,,3,7,,7,,,,,59,10,29,13,19,20,0,0,26,13,16,0,0,0,0,4,4,4,1,,1,"0.69",13,13,13,7
File,"D:\thesis2\9 project\boto\boto\boto\cloudhsm\__init__.py",D:\thesis2\9 project\boto\boto\boto\cloudhsm\__init__.py,2,2,2,2,7,0,4,2,,,,,0,2,,2,,,,,41,5,9,5,5,27,0,0,9,5,5,0,0,0,0,3,3,3,3,,2,"3.00",4,4,4,4
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudhsm\exceptions.py",D:\thesis2\9 project\boto\boto\boto\cloudhsm\exceptions.py,0,0,0,0,0,0,0,0,,,,,3,0,,0,,,,,35,7,7,4,3,21,0,0,7,4,3,0,0,0,0,0,0,0,0,,0,"3.00",0,0,0,0
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudhsm\layer1.py",D:\thesis2\9 project\boto\boto\boto\cloudhsm\layer1.py,2,2,2,1,19,3,7,8,,,,,1,20,,20,,,,,448,86,174,64,143,188,0,0,126,60,99,0,0,0,0,6,6,6,3,,2,"1.08",43,43,44,22
File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch2\__init__.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch2\__init__.py,2,2,2,2,8,0,5,2,,,,,0,2,,2,,,,,42,5,12,5,8,25,0,0,9,5,5,0,0,0,0,3,3,3,3,,2,"2.08",4,4,4,4
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch2\document.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch2\document.py,2,2,2,1,18,3,10,5,,,,,6,11,,11,,,,,315,70,125,53,103,120,0,0,102,53,80,0,0,0,0,7,7,7,7,,3,"0.96",27,27,29,17
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch2\domain.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch2\domain.py,2,2,2,1,12,0,7,4,,,,,1,33,,33,,,,,542,77,271,81,209,194,0,0,158,60,117,0,0,0,0,36,36,36,1,,2,"0.72",69,69,69,33
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch2\exceptions.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch2\exceptions.py,0,0,0,0,0,0,0,0,,,,,6,0,,0,,,,,46,12,13,7,6,21,0,0,13,7,6,0,0,0,0,0,0,0,0,,0,"1.62",0,0,0,0
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch2\layer1.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch2\layer1.py,1,1,1,1,24,2,8,13,,,,,1,28,,28,,,,,783,110,266,79,227,407,0,0,141,75,106,0,0,0,0,5,5,7,1,,3,"1.53",46,46,49,28
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch2\layer2.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch2\layer2.py,2,2,2,1,15,1,9,4,,,,,1,4,,4,,,,,94,12,42,17,30,40,0,0,23,14,14,0,0,0,0,4,4,4,4,,3,"0.95",8,8,8,7
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch2\optionstatus.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch2\optionstatus.py,2,2,2,1,10,0,6,3,,,,,6,15,,15,,,,,233,37,100,46,77,97,0,0,89,45,67,0,0,0,0,8,8,8,1,,6,"0.97",36,36,37,15
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch2\search.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch2\search.py,3,3,4,1,21,4,12,6,,,,,4,18,,17,,,,,452,104,219,92,187,129,1,0,195,86,169,1,1,1,1,15,15,15,8,,4,"0.59",67,67,76,25
File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch\__init__.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch\__init__.py,2,2,2,2,8,0,5,2,,,,,0,2,,2,,,,,45,5,12,5,8,28,0,0,9,5,5,0,0,0,0,3,3,3,3,,2,"2.33",4,4,4,4
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch\document.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch\document.py,2,2,2,1,18,3,8,6,,,,,6,9,,9,,,,,271,61,90,41,71,120,0,0,75,41,56,0,0,0,0,7,7,8,7,,3,"1.33",19,19,20,15
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch\domain.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch\domain.py,1,1,1,1,7,0,2,3,,,,,1,36,,36,,,,,394,67,136,85,69,191,0,0,100,63,55,0,0,0,0,2,2,2,1,,1,"1.40",37,37,37,36
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch\layer1.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch\layer1.py,1,1,1,1,28,2,9,16,,,,,1,24,,24,,,,,747,95,240,91,202,412,0,0,134,82,105,0,0,0,0,8,8,8,4,,2,"1.72",42,42,42,27
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch\layer2.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch\layer2.py,1,1,1,1,10,0,6,3,,,,,1,4,,4,,,,,75,8,29,14,19,38,0,0,15,11,8,0,0,0,0,2,2,2,1,,1,"1.31",5,5,5,4
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch\optionstatus.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch\optionstatus.py,2,2,2,1,9,0,5,3,,,,,4,18,,18,,,,,248,37,112,48,88,100,0,0,97,48,73,0,0,0,0,8,8,8,1,,6,"0.89",43,43,43,18
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch\search.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch\search.py,3,3,3,1,22,4,10,8,,,,,5,14,,14,,,,,377,83,158,78,128,136,0,0,138,70,115,0,0,0,0,14,14,14,7,,3,"0.86",43,43,52,20
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearch\sourceattribute.py",D:\thesis2\9 project\boto\boto\boto\cloudsearch\sourceattribute.py,1,1,1,1,4,0,4,0,,,,,1,3,,3,,,,,74,9,16,12,10,49,0,0,14,10,10,0,0,0,0,2,2,2,1,,1,"3.06",4,4,4,3
File,"D:\thesis2\9 project\boto\boto\boto\cloudsearchdomain\__init__.py",D:\thesis2\9 project\boto\boto\boto\cloudsearchdomain\__init__.py,2,2,2,2,7,0,4,2,,,,,0,2,,2,,,,,41,5,10,5,6,26,0,0,9,5,5,0,0,0,0,3,3,3,3,,2,"2.60",4,4,4,4
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearchdomain\exceptions.py",D:\thesis2\9 project\boto\boto\boto\cloudsearchdomain\exceptions.py,0,0,0,0,0,0,0,0,,,,,2,0,,0,,,,,30,4,5,3,2,21,0,0,5,3,2,0,0,0,0,0,0,0,0,,0,"4.20",0,0,0,0
Module File,"D:\thesis2\9 project\boto\boto\boto\cloudsearchdomain\layer1.py",D:\thesis2\9 project\boto\boto\boto\cloudsearchdomain\layer1.py,4,4,4,1,80,7,14,57,,,,,1,6,,6,,,,,540,58,104,37,88,378,0,0,82,33,70,0,0,0,0,14,14,14,1,,1,"3.63",27,27,27,6
File,"D:\thesis2\9 project\boto\boto\boto\cloudtrail\__init__.py",D:\thesis2\9 project\boto\boto\boto\cloudtrail\__init__.py,2,2,2,2,7,0,4,2,,,,,0,2,,2,,,,,41,5,9,5,5,27,0,0,9,5,5,0,0,0,0,3,3,3,3,,2,"3.00",4,4,4,4
